Record_ID,Sensor_ID,Road_Segment_ID,Intersection_ID,Timestamp,Day_of_Week,Hour_of_Day,Weekend_Flag,Traffic_Volume,Vehicle_Speed_kmph,Road_Occupancy_Percent,Vehicle_Density,Travel_Time_sec,Queue_Length_m,Lane_Count,Lane_Utilization_Percent,Signal_Delay_sec,Weather_Condition,Temperature_C,Humidity_Percent,Visibility_m,Road_Surface,GPS_Vehicle_Count,IoT_Device_Count,Camera_Detection_Count,Incident_Flag,Special_Event,Historical_Flow_5min,Historical_Flow_10min,Historical_Flow_15min,Congestion_Level,Future_Traffic_Flow
1,SEN_034,RS_051,INT_036,01/01/2024 00:00,Monday,0,No,1206,56.19,56.46,65.52,180,120.08,2,31.24,59.68,Cloudy,37.2,50.9,9114,Dry,137,11,1687,No,No,1174,1143,1063,High,High Flow
2,SEN_127,RS_027,INT_049,01/01/2024 00:01,Monday,0,No,1539,43.44,77.17,83.84,219.43,171.03,2,41.4,77.88,Clear,41.6,41.3,8926,Wet,41,22,532,No,No,1428,1444,1675,Severe,Very High Flow
3,SEN_116,RS_060,INT_010,01/01/2024 00:02,Monday,0,No,940,61.15,43.94,52.39,164.02,108.96,4,12.96,50.52,Clear,24.1,73.9,4665,Dry,253,24,289,No,Yes,972,1036,1075,High,High Flow
4,SEN_014,RS_011,INT_042,01/01/2024 00:03,Monday,0,No,1374,52.65,67.41,72.03,197.13,141.85,3,25.96,71.57,Windy,37.8,66.1,7700,Dry,421,7,151,No,No,1350,1283,1289,High,High Flow
5,SEN_124,RS_010,INT_020,01/01/2024 00:04,Monday,0,No,1210,65.16,53.56,70.17,184.62,140.96,4,13.97,79.11,Clear,16.9,65.1,6063,Dry,178,7,1426,No,No,1224,1103,1113,High,High Flow
6,SEN_139,RS_027,INT_015,01/01/2024 00:05,Monday,0,No,1175,66.23,63.13,68.78,188.41,137.12,4,14.14,75.24,Clear,28.5,37.8,8281,Dry,104,3,267,No,No,1147,1191,1039,High,High Flow
7,SEN_038,RS_043,INT_013,01/01/2024 00:06,Monday,0,No,1124,57.55,50.45,65.11,172.11,130.59,6,9.74,56.45,Rain,18,47.3,1751,Dry,422,8,1632,No,No,1006,1200,970,High,High Flow
8,SEN_071,RS_022,INT_040,01/01/2024 00:07,Monday,0,No,1718,42.43,88.94,93.63,223.64,208.42,4,18.16,102.69,Clear,21.9,56.9,1140,Dry,59,23,229,No,No,1695,1706,1800,Severe,Very High Flow
9,SEN_096,RS_039,INT_019,01/01/2024 00:08,Monday,0,No,201,80.59,8.53,9.37,78.62,23.92,5,5,7.61,Windy,19.8,70.8,8938,Dry,67,27,1606,No,No,238,245,50,Low,Low Flow
10,SEN_100,RS_006,INT_021,01/01/2024 00:09,Monday,0,No,546,71.36,28.41,32.79,120.91,55.86,5,6.63,30.15,Clear,27.1,67,9335,Wet,247,4,731,Yes,No,659,564,458,Moderate,Medium Flow
11,SEN_103,RS_034,INT_024,01/01/2024 00:10,Monday,0,No,1318,58.62,63.53,74.08,189.11,148.95,5,8.02,75.26,Cloudy,26.4,63.3,4412,Dry,52,22,761,No,No,1357,1382,1345,High,High Flow
12,SEN_135,RS_044,INT_025,01/01/2024 00:11,Monday,0,No,410,87.9,21.48,19.57,96.69,64.46,4,5,31.12,Clear,26.5,75.4,1791,Wet,56,8,192,No,No,513,343,404,Low,Low Flow
